score-Bs_1,RMSD-s-Bs_1,RMS-Bs_1,score-Bs_2,RMSD-s-Bs_2,RMS-Bs_2,score-c1_MC,RMSD-s-c1_MC,RMS-c1_MC,score-c1_NM,RMSD-s-c1_NM,RMS-c1_NM,score-c2_MC,RMSD-s-c2_MC,RMS-c2_MC,score-c2_NM,RMSD-s-c2_NM,RMS-c2_NM,score-c3_MC,RMSD-s-c3_MC,RMS-c3_MC,score-c3_NM,RMSD-s-c3_NM,RMS-c3_NM,score-Md_1,RMSD-s-Md_1,RMS-Md_1,score-Md_2,RMSD-s-Md_2,RMS-Md_2,score-Md_3,RMSD-s-Md_3,RMS-Md_3,score-Nd_1,RMSD-s-Nd_1,RMS-Nd_1,score-Nd_2,RMSD-s-Nd_2,RMS-Nd_2,score-Nd_3,RMSD-s-Nd_3,RMS-Nd_3,y
-6395,2179.2994683704,13305.444444444445,-5294,525.8869286532982,9330.666666666666,-5856,522.0808845380179,7918.5,-6726,348.8030389775903,2519.0,-8228,1273.9783553891336,20744.3,-6207,1363.9236928802152,10997.4,-6097,1093.0639777135646,10879.25,-5997,621.6190875447724,12468.1,-7497,815.2317216595569,4138.6,-5852,815.9018568430863,12340.9,-6474,436.2758416415003,9187.0,-7412,861.0280676803418,6272.777777777777,-6686,622.1948605095093,7848.0,-6989,863.2248606243894,5263.9,0
-7371,605.0266191470791,2569.4444444444443,-4886,302.06760832635393,12187.9,-7820,956.8499759853769,6533.444444444444,-7334,536.2141363298822,6883.0,-6118,769.7006793568979,10497.333333333334,-5091,919.1884518421682,4130.9,-5482,581.6105569880899,5768.8,-6888,582.1968739180925,5410.7,-9404,1279.277018475672,14728.8,-4814,541.212310865247,14497.0,-5821,568.6573309120387,6458.1,-7237,446.93936948986385,17506.7,-7103,853.0755886789874,9721.4,-6184,466.63836104633197,6887.6,0
-2787,699.4714361573315,10323.2,-2429,1221.1937794279743,5566.222222222223,-4558,659.8028872322398,1443.0,-4749,471.3099723112187,6250.1,-3403,828.44541159934,11981.3,-2657,367.36352567994675,11332.4,-3053,433.54695247458596,9761.1,-4106,777.0585462981538,1240.375,-5609,1461.3102018985708,5731.666666666667,-2532,1176.5644733715192,12834.8,-4071,594.3854305078474,3239.9,-3734,271.83872056791154,17614.3,-3776,1125.5248775571333,9616.3,-4362,505.85457396370316,5802.0,0
-5039,474.1286850634558,13979.5,-4606,395.4205356326332,10812.9,-7233,792.8515343716981,2439.4444444444443,-8194,1004.7282219585538,13308.9,-4612,635.6699143423375,13389.4,-5303,684.5931476269482,15361.777777777777,-6372,568.1940601590321,15436.8,-7637,362.6789351478769,5289.7,-8464,1073.3282116855044,9665.6,-4595,588.2189133307414,15668.4,-7337,867.432239428536,8450.8,-6037,440.1378079647318,10946.4,-6879,963.2585258664076,7581.666666666667,-7336,540.8038923676506,9079.6,0
-1389,971.4520523422657,7536.5,-2798,319.0976088136944,1809.7777777777778,-3628,475.4221282187013,3117.1,-4031,713.4022988468707,12378.1,-4143,805.900217148501,9217.6,-2552,367.70915774747476,5616.444444444444,-3531,653.4817212439849,15591.1,-4762,920.7300418689501,4696.6,-4024,548.8466179179748,5580.2,-3398,1313.979071370621,14631.4,-3312,673.0355191221335,9537.9,-4553,727.3333554842652,15824.4,-4447,1239.2993938731354,17256.444444444445,-5742,1440.813076352257,11046.111111111111,0
-6987,1013.6095155433378,13865.9,-5666,503.46284867902233,5371.1,-7555,1072.0155829091275,13158.7,-6347,672.6229330018384,10790.0,-5722,435.04446899139526,3070.2,-5685,819.022612630449,1819.9,-7060,688.5830862478864,2970.0,-9401,1182.175907614098,12232.888888888889,-7152,618.4777764802855,5829.1,-6027,855.8621442732478,3106.9,-6622,597.5275808500766,10446.333333333334,-8050,1142.6705080643296,4538.0,-4136,586.1314187108545,12083.3,-6812,457.7213562856894,11221.5,0
-2437,369.6870162718719,15121.4,-2883,562.6091805152133,8796.2,-3913,881.6626565756321,11658.0,-5086,1035.3325504397128,17558.1,-3020,553.8426130228693,2199.3,-3062,472.7142534683051,9364.888888888889,-4527,978.2798372653908,7595.8,-5848,1752.3642201323323,7709.3,-2891,472.5389526043272,8199.444444444445,-3196,829.8107841550386,13017.0,-3729,570.6918608145724,11355.6,-4959,752.7558701199216,12893.5,-3992,701.1958356978453,13299.7,-3639,645.991919454107,13048.1,0
-6781,1383.277571566894,11249.0,-5616,248.30974285165692,1274.888888888889,-7407,838.9973122722203,7895.6,-6949,901.4162930263288,14696.444444444445,-4580,406.8071902019476,10186.2,-5431,579.8596036973089,9348.6,-8152,912.8625800195756,4641.8,-7126,282.4444901214983,4611.6,-8398,1309.476800099952,10547.1,-4785,562.504408871613,15062.3,-7173,1044.8608711211243,5344.3,-8749,885.0358661517622,14239.75,-6344,912.2608057884413,8116.333333333333,-6976,848.4949557893657,13010.3,0
-6439,909.5981750201589,8304.7,-5693,658.3535828109373,5300.6,-7284,620.4892533962585,5473.111111111111,-7055,1094.7845267448733,3133.3,-5457,883.9681498787188,15681.7,-6059,596.7276514457774,11797.6,-5454,540.2004165122373,2884.6,-5531,460.3629546347108,11848.9,-7359,280.4763584588207,1301.2222222222222,-4069,444.5150278674495,8193.9,-6278,533.0389197797869,2434.1,-6978,580.1608972230584,3359.222222222222,-6469,291.2135527981756,9321.666666666666,-5882,516.1953990496212,5270.1,0
-5182,419.90279827598124,1491.6,-3793,596.4911147703714,4026.4,-5160,396.65754751422656,4247.7,-5689,606.7080352195749,4981.6,-4610,829.0090469952665,5638.9,-5208,648.0637622950388,15299.3,-5602,520.8069474797861,9066.111111111111,-6060,557.036049102749,2165.3,-5973,569.7845996514842,1810.1,-3096,489.18059037537495,7560.0,-4940,296.8845735298472,8143.3,-5269,294.1902047030334,8400.555555555555,-3999,234.56252950313794,6953.666666666667,-5013,465.83748239058906,5311.7,0
