BindingSite1,BS1_rmsd,BindingSite2,BS2_rmsd,MC1,MC1_rmsd,NM1,NM1_rmsd,MC2,MC2_rmsd,NM2,NM2_rmsd,MC3,MC3_rmsd,NM3,NM3_rmsd,Md1,Md1_rmsd,Md2,Md2_rmsd,Md3,Md3_rmsd,Nd1,Nd1_rmsd,Nd2,Nd2_rmsd,Nd3,Nd3_rmsd,y
-6395,2179.2994683704,-5294,525.8869286532982,-5856,522.0808845380179,-6726,348.8030389775903,-8228,1273.9783553891336,-6207,1363.9236928802152,-6097,1093.0639777135646,-5997,621.6190875447724,-7497,815.2317216595569,-5852,815.9018568430863,-6474,436.2758416415003,-7412,861.0280676803418,-6686,622.1948605095093,-6989,863.2248606243894,0
-7371,605.0266191470791,-4886,302.06760832635393,-7820,956.8499759853769,-7334,536.2141363298822,-6118,769.7006793568979,-5091,919.1884518421682,-5482,581.6105569880899,-6888,582.1968739180925,-9404,1279.277018475672,-4814,541.212310865247,-5821,568.6573309120387,-7237,446.93936948986385,-7103,853.0755886789874,-6184,466.63836104633197,0
-2787,699.4714361573315,-2429,1221.1937794279743,-4558,659.8028872322398,-4749,471.3099723112187,-3403,828.44541159934,-2657,367.36352567994675,-3053,433.54695247458596,-4106,777.0585462981538,-5609,1461.3102018985708,-2532,1176.5644733715192,-4071,594.3854305078474,-3734,271.83872056791154,-3776,1125.5248775571333,-4362,505.85457396370316,0
-5039,474.1286850634558,-4606,395.4205356326332,-7233,792.8515343716981,-8194,1004.7282219585538,-4612,635.6699143423375,-5303,684.5931476269482,-6372,568.1940601590321,-7637,362.6789351478769,-8464,1073.3282116855044,-4595,588.2189133307414,-7337,867.432239428536,-6037,440.1378079647318,-6879,963.2585258664076,-7336,540.8038923676506,0
-1389,971.4520523422657,-2798,319.0976088136944,-3628,475.4221282187013,-4031,713.4022988468707,-4143,805.900217148501,-2552,367.70915774747476,-3531,653.4817212439849,-4762,920.7300418689501,-4024,548.8466179179748,-3398,1313.979071370621,-3312,673.0355191221335,-4553,727.3333554842652,-4447,1239.2993938731354,-5742,1440.813076352257,0
-6987,1013.6095155433378,-5666,503.46284867902233,-7555,1072.0155829091275,-6347,672.6229330018384,-5722,435.04446899139526,-5685,819.022612630449,-7060,688.5830862478864,-9401,1182.175907614098,-7152,618.4777764802855,-6027,855.8621442732478,-6622,597.5275808500766,-8050,1142.6705080643296,-4136,586.1314187108545,-6812,457.7213562856894,0
-2437,369.6870162718719,-2883,562.6091805152133,-3913,881.6626565756321,-5086,1035.3325504397128,-3020,553.8426130228693,-3062,472.7142534683051,-4527,978.2798372653908,-5848,1752.3642201323323,-2891,472.5389526043272,-3196,829.8107841550386,-3729,570.6918608145724,-4959,752.7558701199216,-3992,701.1958356978453,-3639,645.991919454107,0
-6781,1383.277571566894,-5616,248.30974285165692,-7407,838.9973122722203,-6949,901.4162930263288,-4580,406.8071902019476,-5431,579.8596036973089,-8152,912.8625800195756,-7126,282.4444901214983,-8398,1309.476800099952,-4785,562.504408871613,-7173,1044.8608711211243,-8749,885.0358661517622,-6344,912.2608057884413,-6976,848.4949557893657,0
-6439,909.5981750201589,-5693,658.3535828109373,-7284,620.4892533962585,-7055,1094.7845267448733,-5457,883.9681498787188,-6059,596.7276514457774,-5454,540.2004165122373,-5531,460.3629546347108,-7359,280.4763584588207,-4069,444.5150278674495,-6278,533.0389197797869,-6978,580.1608972230584,-6469,291.2135527981756,-5882,516.1953990496212,0
-5182,419.90279827598124,-3793,596.4911147703714,-5160,396.65754751422656,-5689,606.7080352195749,-4610,829.0090469952665,-5208,648.0637622950388,-5602,520.8069474797861,-6060,557.036049102749,-5973,569.7845996514842,-3096,489.18059037537495,-4940,296.8845735298472,-5269,294.1902047030334,-3999,234.56252950313794,-5013,465.83748239058906,0
